# Created by Octave 7.3.0, Sun Nov 13 20:20:21 2022 GMT <unknown@LAPTOP-PSMR0IUC>
# name: X
# type: matrix
# rows: 10000
# columns: 2
 32.509364740000002 -105.00044538
 32.509309940000009 -105.00169467000002
 32.509255350000004 -105.00294365000001
 32.509200710000002 -105.00419235
 32.509145800000006 -105.00544072999999
 32.509090350000001 -105.00668877
 32.509034370000002 -105.00793647
 32.508977810000005 -105.00918385
 32.508920830000008 -105.01043088
 32.508863549999994 -105.01167754000001
 32.508806069999999 -105.01292386000001
 32.508748510000004 -105.01416986000002
 32.508690980000004 -105.0154155
 32.508633610000004 -105.01666084000001
 32.508576400000003 -105.01790594000002
 32.508519400000004 -105.01915082000001
 32.508462630000004 -105.02039550999999
 32.508406200000003 -105.02164003
 32.508350110000009 -105.02288442
 32.508294340000006 -105.02412867000001
 32.508238930000012 -105.02537282999997
 32.508183870000003 -105.02661693
 32.508129250000003 -105.02786102
 32.508075000000005 -105.02910514
 32.50802109 -105.03034934999999
 32.507967399999991 -105.03159368000003
 32.507913870000003 -105.03283819999999
 32.507860429999994 -105.03408295
 32.507806999999993 -105.03532798000001
 32.507753690000001 -105.03657338000001
 32.507700540000002 -105.03781919000001
 32.50764740999999 -105.03906540000001
 32.507594230000002 -105.04031206000001
 32.507540880000001 -105.04155914000002
 32.507487279999992 -105.04280664000001
 32.507433479999996 -105.04405453000001
 32.507379449999995 -105.04530276999999
 32.50732507 -105.04655133
 32.507270320000003 -105.04780019
 32.507215230000007 -105.04904932000001
 32.50715976 -105.0502987
 32.50710385 -105.05154829
 32.507047499999992 -105.05279809999998
 32.506990640000005 -105.05404811999999
 32.506933300000007 -105.05529831999999
 32.506875409999999 -105.05654868000001
 32.506816960000002 -105.05779918
 32.506758050000002 -105.05904980999999
 32.506698710000002 -105.06030058
 32.506639159999999 -105.06155148000002
 32.506579530000003 -105.06280249999999
 32.506519860000004 -105.06405364000003
 32.506460130000001 -105.0653049
 32.506400249999999 -105.06655629000001
 32.50634015 -105.0678078
 32.506279749999997 -105.06905940000001
 32.506219049999999 -105.07031108
 32.506158050000003 -105.07156280999999
 32.506096830000004 -105.07281456999999
 32.506035360000006 -105.07406634
 32.505973690000005 -105.07531811999998
 32.505911880000006 -105.07656985
 32.505850020000004 -105.07782150999999
 32.505788210000006 -105.07907308999999
 32.505726520000003 -105.08032457
 32.505665130000004 -105.08157596000001
 32.505604120000001 -105.08282727
 32.505543630000005 -105.08407852999999
 32.50548379 -105.08532978000001
 32.505424669999996 -105.08658100999999
 32.505366290000005 -105.08783220999999
 32.505308590000006 -105.08908334
 32.505251569999999 -105.09033434
 32.505195230000012 -105.09158519
 32.50513938000001 -105.09283581999999
 32.505083679999998 -105.09408620000001
 32.505027869999999 -105.09533629999999
 32.504971749999996 -105.0965861
 32.504915170000004 -105.09783564000001
 32.504858210000002 -105.09908493
 32.504800809999999 -105.10033396
 32.504743040000001 -105.10158276
 32.504684879999992 -105.10283131999998
 32.504626169999995 -105.10407962000001
